puzzle_number,size,solved,valid,time,generations,solution
1,6,True,True,0.0708,1,"[[4, 5, 6, 1, 2, 3], [1, 2, 3, 4, 5, 6], [2, 4, 1, 6, 3, 5], [6, 3, 5, 2, 1, 4], [5, 6, 2, 3, 4, 1], [3, 1, 4, 5, 6, 2]]"
2,6,True,True,0.0722,1,"[[2, 3, 1, 6, 5, 4], [5, 6, 4, 2, 1, 3], [4, 1, 5, 3, 6, 2], [6, 2, 3, 5, 4, 1], [3, 4, 6, 1, 2, 5], [1, 5, 2, 4, 3, 6]]"
3,6,True,True,0.0566,1,"[[6, 3, 5, 1, 2, 4], [2, 4, 1, 5, 6, 3], [5, 1, 4, 6, 3, 2], [3, 2, 6, 4, 5, 1], [1, 6, 2, 3, 4, 5], [4, 5, 3, 2, 1, 6]]"
4,6,True,True,0.1026,1,"[[4, 2, 6, 5, 1, 3], [1, 3, 5, 6, 4, 2], [3, 4, 1, 2, 5, 6], [5, 6, 2, 1, 3, 4], [2, 5, 3, 4, 6, 1], [6, 1, 4, 3, 2, 5]]"
5,6,False,False,0.0000,0,
6,6,False,False,0.0000,0,
7,6,False,False,0.0000,0,
8,6,False,False,0.0000,0,
9,6,False,False,0.0000,0,
10,6,False,False,0.0000,0,
11,6,True,True,0.0832,1,"[[3, 2, 1, 5, 4, 6], [5, 6, 4, 3, 1, 2], [4, 3, 2, 6, 5, 1], [1, 5, 6, 2, 3, 4], [2, 4, 3, 1, 6, 5], [6, 1, 5, 4, 2, 3]]"
12,6,True,True,0.0889,1,"[[6, 2, 1, 3, 5, 4], [5, 4, 3, 6, 1, 2], [3, 1, 5, 2, 4, 6], [2, 6, 4, 5, 3, 1], [1, 3, 2, 4, 6, 5], [4, 5, 6, 1, 2, 3]]"
13,6,True,True,0.0869,1,"[[6, 5, 3, 1, 4, 2], [2, 4, 1, 6, 5, 3], [1, 2, 5, 3, 6, 4], [4, 3, 6, 2, 1, 5], [3, 6, 4, 5, 2, 1], [5, 1, 2, 4, 3, 6]]"
14,6,True,True,0.0965,1,"[[6, 5, 4, 2, 1, 3], [2, 1, 3, 5, 6, 4], [3, 6, 1, 4, 5, 2], [4, 2, 5, 6, 3, 1], [1, 4, 6, 3, 2, 5], [5, 3, 2, 1, 4, 6]]"
15,6,True,True,0.0826,1,"[[1, 6, 3, 4, 5, 2], [5, 2, 4, 1, 6, 3], [2, 4, 6, 3, 1, 5], [3, 5, 1, 6, 2, 4], [4, 1, 2, 5, 3, 6], [6, 3, 5, 2, 4, 1]]"
